,level_0,index,close,high,low,open,s,t,v
192,7,2018-07-09 07:00:00,6744.0,6753.0,6739.0,6750.0,ok,1531087200.0,28620037.0
193,6,2018-07-09 06:00:00,6750.0,6752.5,6739.0,6741.5,ok,1531083600.0,22011200.0
194,5,2018-07-09 05:00:00,6741.5,6755.0,6741.5,6749.5,ok,1531080000.0,25141655.0
195,4,2018-07-09 04:00:00,6749.5,6751.5,6736.5,6742.5,ok,1531076400.0,22176736.0
196,3,2018-07-09 03:00:00,6742.5,6752.5,6739.5,6745.0,ok,1531072800.0,19048979.0
197,2,2018-07-09 02:00:00,6745.0,6757.0,6736.5,6743.0,ok,1531069200.0,38947627.0
198,1,2018-07-09 01:00:00,6743.0,6750.5,6735.0,6735.5,ok,1531065600.0,31952489.0
199,0,2018-07-09 00:00:00,6735.5,6767.0,6731.0,6742.0,ok,1531062000.0,96973511.0
200,49,2018-07-08 23:00:00,6742.0,6758.5,6718.5,6724.5,ok,1531058400.0,63654582.0
201,48,2018-07-08 22:00:00,6724.5,6736.0,6708.5,6725.5,ok,1531054800.0,42036769.0
202,47,2018-07-08 21:00:00,6725.5,6769.0,6707.0,6731.0,ok,1531051200.0,121074695.0
203,46,2018-07-08 20:00:00,6731.0,6733.0,6717.0,6717.0,ok,1531047600.0,22742710.0
204,45,2018-07-08 19:00:00,6717.0,6730.0,6716.5,6729.0,ok,1531044000.0,25484092.0
205,44,2018-07-08 18:00:00,6729.0,6729.0,6719.0,6719.0,ok,1531040400.0,16036913.0
206,43,2018-07-08 17:00:00,6719.0,6732.0,6718.0,6731.5,ok,1531036800.0,23350703.0
207,42,2018-07-08 16:00:00,6731.5,6732.0,6726.0,6726.0,ok,1531033200.0,15909369.0
208,41,2018-07-08 15:00:00,6726.0,6730.5,6726.0,6728.5,ok,1531029600.0,13745469.0
209,40,2018-07-08 14:00:00,6728.5,6737.0,6717.0,6717.5,ok,1531026000.0,31922836.0
210,39,2018-07-08 13:00:00,6717.5,6725.5,6715.0,6720.0,ok,1531022400.0,26370752.0
211,38,2018-07-08 12:00:00,6720.0,6741.5,6716.0,6737.5,ok,1531018800.0,38637427.0
212,37,2018-07-08 11:00:00,6737.5,6744.0,6730.5,6737.5,ok,1531015200.0,38644773.0
213,36,2018-07-08 10:00:00,6737.5,6755.5,6732.5,6742.5,ok,1531011600.0,55815546.0
214,35,2018-07-08 09:00:00,6742.5,6774.5,6721.0,6756.5,ok,1531008000.0,124133441.0
215,34,2018-07-08 08:00:00,6756.5,6868.0,6572.5,6573.0,ok,1531004400.0,406685228.0
216,33,2018-07-08 07:00:00,6573.0,6582.5,6525.0,6530.0,ok,1531000800.0,77320085.0
217,32,2018-07-08 06:00:00,6530.0,6538.5,6522.0,6524.5,ok,1530997200.0,28488818.0
218,31,2018-07-08 05:00:00,6524.5,6540.0,6503.0,6540.0,ok,1530993600.0,79144362.0
219,30,2018-07-08 04:00:00,6540.0,6552.0,6539.5,6551.5,ok,1530990000.0,15712813.0
220,29,2018-07-08 03:00:00,6551.5,6557.0,6525.0,6547.0,ok,1530986400.0,46250958.0
221,28,2018-07-08 02:00:00,6547.0,6558.0,6537.0,6558.0,ok,1530982800.0,35994524.0
222,27,2018-07-08 01:00:00,6558.0,6564.0,6548.0,6557.5,ok,1530979200.0,28412319.0
223,26,2018-07-08 00:00:00,6557.5,6567.5,6540.0,6563.5,ok,1530975600.0,44622491.0
224,25,2018-07-07 23:00:00,6563.5,6590.0,6531.0,6533.0,ok,1530972000.0,96231427.0
225,24,2018-07-07 22:00:00,6533.0,6563.0,6520.0,6563.0,ok,1530968400.0,126587242.0
226,23,2018-07-07 21:00:00,6563.0,6619.0,6542.0,6581.0,ok,1530964800.0,132059329.0
227,22,2018-07-07 20:00:00,6581.0,6583.5,6572.5,6580.5,ok,1530961200.0,20717288.0
228,21,2018-07-07 19:00:00,6580.5,6587.0,6568.0,6575.5,ok,1530957600.0,25778629.0
229,20,2018-07-07 18:00:00,6575.5,6577.0,6565.0,6573.0,ok,1530954000.0,28736438.0
230,19,2018-07-07 17:00:00,6573.0,6594.0,6573.0,6590.0,ok,1530950400.0,40759702.0
231,18,2018-07-07 16:00:00,6590.0,6591.5,6566.5,6578.0,ok,1530946800.0,40193729.0
232,17,2018-07-07 15:00:00,6578.0,6593.0,6572.5,6591.0,ok,1530943200.0,35034933.0
233,16,2018-07-07 14:00:00,6591.0,6601.0,6589.5,6599.5,ok,1530939600.0,22887697.0
234,15,2018-07-07 13:00:00,6599.5,6617.5,6584.5,6596.0,ok,1530936000.0,49473382.0
235,14,2018-07-07 12:00:00,6596.0,6605.0,6584.5,6585.0,ok,1530932400.0,38339005.0
